branch_addr,branch_type,taken,target
0x1ddd9634,conditional_jump,0,0x1ddd966f
0x1ddd963d,conditional_jump,0,0x1ddd966f
0x1ddd9642,conditional_jump,0,0x20525516
0x1ddd9660,conditional_jump,0,0x2052550d
0x1ddd9669,conditional_jump,0,0x20525516
0x1ddd968a,conditional_jump,0,0x205252ab
0x1ddd9694,conditional_jump,0,0x205256d0
0x1ddd969f,direct_call,1,0x1f1c2740
0x1f1c27d1,return,1,0x1ddd96a4
0x1ddd96cf,conditional_jump,0,0x1ddd96db
0x1ddd96ed,direct_call,1,0x1e82e600
0x1e82e607,conditional_jump,1,0x1e82e726
0x1e82e726,return,1,0x1ddd96f2
0x1ddd9700,conditional_jump,0,0x20525156
0x1ddd970d,conditional_jump,0,0x20525167
0x1ddd971a,conditional_jump,1,0x1ddd94e0
0x1ddd9634,conditional_jump,1,0x1ddd966f
0x1ddd968a,conditional_jump,1,0x205252ab
0x205252b8,conditional_jump,1,0x205253c1
0x205253cf,conditional_jump,0,0x20525a9b
0x205253d5,conditional_jump,0,0x20525aac
0x205253db,conditional_jump,0,0x205253ee
0x205253e8,conditional_jump,0,0x20525ab7
0x205253f1,direct_jump,1,0x1ddd9690
0x1ddd96cf,conditional_jump,1,0x1ddd96db
0x1e82e607,conditional_jump,0,0x1e82e726
0x1e82e615,conditional_jump,1,0x1e82e726
0x1ddd9700,conditional_jump,1,0x20525156
0x2052515f,conditional_jump,0,0x1ddd9713
0x20525165,direct_jump,1,0x20525156
0x2052515f,conditional_jump,1,0x1ddd9713
0x1ddd959e,conditional_jump,1,0x1ddd9722
0x1ddd9726,conditional_jump,0,0x1ddd95c4
0x1ddd972c,direct_jump,1,0x1ddd96f9
0x1ddd970d,conditional_jump,1,0x20525167
0x20525179,conditional_jump,0,0x1ddd9713
0x2052517f,direct_jump,1,0x2052516b
0x20525179,conditional_jump,1,0x1ddd9713
0x1ddd971a,conditional_jump,0,0x1ddd94e0
0x1ddd9720,direct_jump,1,0x1ddd974c
0x1ddd9757,conditional_jump,0,0x20525413
0x1ddd9786,direct_call,1,0x1e6618e0
0x1e6618f4,conditional_jump,0,0x1e661b50
0x1e66190e,conditional_jump,0,0x1e661d48
0x1e661927,conditional_jump,0,0x1e661d48
0x1e661937,conditional_jump,0,0x1e661d6b
0x1e661950,conditional_jump,0,0x1e661d6b
0x1e661966,conditional_jump,0,0x1e661d14
0x1e661985,conditional_jump,0,0x1e661d14
0x1e661994,conditional_jump,0,0x1e661d99
0x1e6619a6,conditional_jump,0,0x1e661d99
0x1e6619b1,conditional_jump,0,0x1f44a57b
0x1e6619d0,conditional_jump,0,0x1e661ae3
0x1e6619d9,conditional_jump,0,0x1e661ae3
0x1e661a26,conditional_jump,0,0x1e661ae3
0x1e661a4e,conditional_jump,0,0x1e661ae3
0x1e661a6d,conditional_jump,0,0x1e661de1
0x1e661a80,conditional_jump,0,0x1f44a65e
0x1e661a89,conditional_jump,0,0x1e661ca5
0x1e661a8f,indirect_jump,1,0x1e661b5f
0x1e661b68,conditional_jump,1,0x1e661c52
0x1e661c64,conditional_jump,1,0x1e661ac4
0x1e661ad9,conditional_jump,0,0x1f44a50b
0x1e661ae8,conditional_jump,0,0x1f44a5b1
0x1e661b08,conditional_jump,0,0x1e661cff
0x1e661b1a,conditional_jump,0,0x1e661cff
0x1e661b2b,conditional_jump,0,0x1e661d33
0x1e661b4a,conditional_jump,0,0x1e661d33
0x1e661b5e,return,1,0x1ddd978b
0x1ddd97ac,conditional_jump,0,0x1ddd9859
0x1ddd97bc,conditional_jump,0,0x1ddd9832
0x1ddd97d3,conditional_jump,0,0x205255dd
0x1ddd97e0,conditional_jump,1,0x1ddd97f4
0x1ddd97f9,conditional_jump,0,0x1ddd97ea
